California, Precipitation
Units: Inches
Base Period: 1981-2010
Missing: -99
Date,Value,Anomaly
195308,0.31,0.08
195309,0.04,-0.38
195310,0.79,-0.48
195311,2.94,0.24
195312,1.15,-2.86
195401,5.93,1.86
195402,3.02,-0.94
195403,4.13,0.80
195404,1.67,0.01
195405,0.13,-0.83
195406,0.68,0.34
195407,0.24,0.06
195408,0.27,0.04
195409,0.22,-0.20
195410,0.29,-0.98
195411,2.75,0.05
195412,3.67,-0.34
195501,3.61,-0.46
195502,1.50,-2.46
195503,0.70,-2.63
195504,2.42,0.76
195505,0.67,-0.29
195506,0.10,-0.24
195507,0.26,0.08
195508,0.35,0.12
195509,0.35,-0.07
195510,0.38,-0.89
195511,2.69,-0.01
195512,10.68,6.67
195601,6.96,2.89
195602,3.17,-0.79
195603,0.41,-2.92
195604,1.83,0.17
195605,1.42,0.46
195606,0.20,-0.14
195607,0.30,0.12
195608,0.03,-0.20
195609,0.25,-0.17
195610,2.30,1.03
195611,0.11,-2.59
195612,0.87,-3.14
195701,3.92,-0.15
195702,3.64,-0.32
195703,3.00,-0.33
195704,1.71,0.05
195705,2.52,1.56
195706,0.14,-0.20
195707,0.10,-0.08
195708,0.12,-0.11
195709,0.90,0.48
195710,2.76,1.49
195711,1.73,-0.97
195712,4.01,0.00
195801,4.34,0.27
195802,8.22,4.26
195803,5.74,2.41
195804,3.96,2.30
195805,0.85,-0.11
195806,0.87,0.53
195807,0.32,0.14
195808,0.38,0.15
195809,0.57,0.15
195810,0.39,-0.88
195811,0.96,-1.74
195812,1.16,-2.85
195901,4.66,0.59
195902,5.05,1.09
195903,0.86,-2.47
195904,0.55,-1.11
195905,0.45,-0.51
195906,0.05,-0.29
195907,0.08,-0.10
195908,0.22,-0.01
195909,1.23,0.81
195910,0.21,-1.06
195911,0.14,-2.56
195912,1.71,-2.30
196001,3.68,-0.39
196002,5.14,1.18
196003,2.84,-0.49
196004,1.42,-0.24
196005,1.05,0.09
196006,0.02,-0.32
196007,0.14,-0.04
196008,0.02,-0.21
196009,0.26,-0.16
196010,0.55,-0.72
196011,4.52,1.82
196012,2.13,-1.88
196101,2.09,-1.98
196102,2.17,-1.79
